Epoch,Control Model,Half Frozen Model,Finetuned Model
0,3.85376718,4.977773015,2.499064872
1,5.915897522,3.757740693,2.587991843
2,5.221294236,5.049333472,2.66750531
3,6.037509995,3.621324625,2.197141854
4,8.26162693,4.025824106,2.398331063
5,7.43956028,4.128305604,2.285515778
6,10.77873332,5.207640996,2.557683041
7,10.71868319,4.417408803,2.721130538
8,10.79904249,4.756887226,2.404648888
9,11.77249976,3.804053302,2.452687955
10,9.929322491,4.028841817,3.119880226
11,11.53102413,4.161109219,2.743729095
12,18.67497503,4.774205317,2.611613126
13,11.1895802,5.457231078,2.428880324
14,23.14951912,4.431503069,3.15942513
15,31.72102961,4.13816833,2.693580804
16,36.19216887,3.886366067,2.526064281
17,15.01597012,4.912638707,2.740173838
18,23.59475533,4.057703924,2.395545061
19,28.68182505,3.66711694,2.667996354
20,25.14878868,4.093543942,2.728530307
21,16.17965327,4.233526118,2.966548488
22,16.75111125,3.780735292,3.024719563
23,30.14803539,4.186907053,2.509157014
24,24.3386828,4.147763011,2.376424308